id	group0	group1	group2
fRootVegWin	0.6	0.6	0.6
fRootVegSum	0.1	0.1	0.1
cLengAllo	15	15	15
cLengMort	15	15	15
cAlloMin	1e-04	1e-04	1e-04
cCovSpVeg	0.5	0.5	0.5
cTmInitVeg	9	9	9
hLRefVeg	17	17	17
cVPUptMaxVeg	0.01	0.01	0.01
cQ10ProdVeg	1.2	1.2	1.2
cQ10PrespVeg	2	2	3
cPDVegMax	0.0035	0.0035	0.0035
cPDVegMin	8e-04	8e-04	8e-04
cAfPUptVeg	0.2	0.2	0.2
fFloatVeg	0	0	0
fEmergVeg	0	0	0
cMuMaxVeg	0.2	0.2	0.2
cVNUptMaxVeg	0.1	0.1	0.1
cNDVegMax	0.035	0.035	0.035
cNDVegMin	0.01	0.01	0.01
cAffNuptVeg	0.2	0.2	0.2
cExtWat_unused 	0.5	0.5	0.5
cExtSpVeg	0.01	0.01	0.01
fPAR	0.48	0.48	0.48
fRefl	0.2	0.2	0.2
kMigrVeg	1e-05	1e-05	1e-05
cDVegIn	1	1	1
kDRespVeg	0.02	0.02	0.02
cDCarrVeg	400	400	400
cDayWinVeg	259	259	259
fWinVeg	0.1	0.3	0.3
kMortVegSum	0.005	0.005	0.005
fDetWMortVeg	0.1	0.1	0.1
fDissMortVeg	0.25	0.25	0.25
fDepth1Veg	0	0	0
fDepth2Veg	1	1	1
cMaxHeightVeg	3	3	3
crelVegFiJv	0.01	0.005	0.005
kVegResus	0.01	0.01	0.01
pWaveMort	4	4	4
HWaveMort	0.15	0.15	0.15
MaxWaveMort	0.2	0.2	0.2
